laptop_time_iso,esp_ms,ax,ay,az,motion,avg_motion_10s,state
2026-03-14T02:08:24.589043,1112373,-944,784,16944,360.23,205.12,RUNNING
2026-03-14T02:08:24.689357,1112473,-1204,780,16964,301.90,205.12,RUNNING
2026-03-14T02:08:24.790273,1112573,-1092,736,17048,260.92,205.12,RUNNING
2026-03-14T02:08:24.889150,1112673,-1412,664,16944,228.91,205.12,RUNNING
2026-03-14T02:08:25.017940,1112773,-992,712,16856,208.50,205.12,RUNNING
2026-03-14T02:08:25.088950,1112873,-996,728,16736,192.35,205.12,RUNNING
2026-03-14T02:08:25.188916,1112973,-1580,752,17184,246.19,205.12,RUNNING
2026-03-14T02:08:25.289016,1113073,-1392,896,17232,208.80,205.12,RUNNING
2026-03-14T02:08:25.391300,1113173,-1748,852,17364,200.23,205.12,RUNNING
2026-03-14T02:08:25.525769,1113273,-1116,592,16880,262.35,205.12,RUNNING
2026-03-14T02:08:25.589232,1113373,-1336,1004,17004,243.70,205.12,RUNNING
2026-03-14T02:08:25.688822,1113473,-848,952,16928,219.63,205.12,RUNNING
2026-03-14T02:08:25.789113,1113573,-1612,888,17248,246.69,205.12,RUNNING
2026-03-14T02:08:25.889213,1113673,-1152,1008,16952,260.78,205.12,RUNNING
2026-03-14T02:08:25.996900,1113773,-1268,916,17016,225.86,205.12,RUNNING
2026-03-14T02:08:26.088998,1113873,-1428,904,16896,204.54,205.12,RUNNING
2026-03-14T02:08:26.188968,1113973,-1664,972,17284,241.66,205.12,RUNNING
2026-03-14T02:08:26.288854,1114073,-860,812,16648,324.37,205.12,RUNNING
2026-03-14T02:08:26.389053,1114173,-1400,868,17040,343.29,205.12,RUNNING
2026-03-14T02:08:26.493311,1114273,-864,972,16924,307.69,205.12,RUNNING
2026-03-14T02:08:26.588902,1114373,-920,756,16828,270.99,205.12,RUNNING
2026-03-14T02:08:26.688589,1114473,-1080,888,16676,246.62,205.12,RUNNING
2026-03-14T02:08:26.788912,1114573,-952,784,16712,206.35,205.12,RUNNING
2026-03-14T02:08:26.888863,1114673,-1284,872,16852,199.07,205.12,RUNNING
2026-03-14T02:08:26.988967,1114773,-708,724,16676,202.23,205.12,RUNNING
2026-03-14T02:08:27.088899,1114873,-1228,908,16920,216.60,205.12,RUNNING
2026-03-14T02:08:27.189213,1114973,-388,860,16516,257.86,205.12,RUNNING
2026-03-14T02:08:27.288964,1115073,-1516,1064,17132,335.45,205.12,RUNNING
2026-03-14T02:08:27.388919,1115173,-1104,908,17024,301.69,205.12,RUNNING
2026-03-14T02:08:27.501623,1115273,-832,956,16860,279.13,205.12,RUNNING
2026-03-14T02:08:27.588922,1115373,-1100,1032,17024,261.85,205.12,RUNNING
2026-03-14T02:08:27.688896,1115473,-1588,992,17224,256.98,205.12,RUNNING
2026-03-14T02:08:27.788796,1115573,-904,904,17024,256.36,205.12,RUNNING
2026-03-14T02:08:27.889081,1115673,-1452,964,17168,243.39,205.12,RUNNING
2026-03-14T02:08:27.995362,1115773,-1188,780,17048,226.42,205.12,RUNNING
2026-03-14T02:08:28.089046,1115873,-676,876,16720,248.76,205.12,RUNNING
2026-03-14T02:08:28.188880,1115973,-1416,1036,17060,274.80,205.12,RUNNING
2026-03-14T02:08:28.289000,1116073,-1144,936,17024,236.48,205.12,RUNNING
2026-03-14T02:08:28.388717,1116173,-1316,948,17152,219.20,205.12,RUNNING
2026-03-14T02:08:28.492752,1116273,-224,768,16156,369.23,205.12,RUNNING
2026-03-14T02:08:28.588538,1116373,-932,912,16616,391.20,205.12,RUNNING
2026-03-14T02:08:28.688611,1116473,-576,944,16828,356.29,205.12,RUNNING
