laptop_time_iso,esp_ms,ax,ay,az,motion,state
2026-03-13T22:37:08.758246,253809,-792,1264,16708,113.15,IDLE
2026-03-13T22:37:08.858161,253909,-780,1372,16656,100.67,IDLE
2026-03-13T22:37:08.958071,254009,-828,1284,16772,102.50,IDLE
2026-03-13T22:37:09.057898,254109,-712,1268,16724,93.83,IDLE
2026-03-13T22:37:09.158163,254209,-836,1328,16776,88.13,IDLE
2026-03-13T22:37:09.258086,254309,-680,1200,16768,76.69,IDLE
2026-03-13T22:37:09.358020,254409,-800,1320,16704,71.79,IDLE
2026-03-13T22:37:09.459725,254509,-808,1416,16692,59.54,IDLE
2026-03-13T22:37:09.558396,254609,-764,1280,16740,55.09,IDLE
2026-03-13T22:37:09.658204,254709,-868,1124,16812,56.99,IDLE
2026-03-13T22:37:09.758114,254809,-712,1292,16696,66.68,IDLE
2026-03-13T22:37:09.858059,254909,-812,1276,16700,55.99,IDLE
2026-03-13T22:37:09.957937,255009,-724,1316,16756,55.78,IDLE
2026-03-13T22:37:10.057954,255109,-780,1240,16660,63.55,IDLE
2026-03-13T22:37:10.158173,255209,-800,1388,16756,71.57,IDLE
2026-03-13T22:37:10.258119,255309,-732,1228,16668,77.27,IDLE
2026-03-13T22:37:10.358150,255409,-832,1404,16740,79.59,IDLE
2026-03-13T22:37:10.459768,255509,-792,1340,16700,73.72,IDLE
2026-03-13T22:37:10.558005,255609,-776,1324,16712,62.24,IDLE
2026-03-13T22:37:10.658118,255709,-828,1292,16812,68.96,IDLE
2026-03-13T22:37:10.758171,255809,-1040,1276,17012,94.27,IDLE
2026-03-13T22:37:10.857855,255909,-736,1080,16508,173.02,IDLE
2026-03-13T22:37:10.958023,256009,-860,1196,16852,206.07,IDLE
2026-03-13T22:37:11.058190,256109,-908,1140,16828,173.52,IDLE
2026-03-13T22:37:11.158207,256209,-576,1388,16760,153.77,IDLE
2026-03-13T22:37:11.258143,256309,-944,1276,16744,127.56,IDLE
2026-03-13T22:37:11.358199,256409,-648,1204,16900,129.11,IDLE
2026-03-13T22:37:11.459586,256509,-844,1272,16596,157.92,IDLE
2026-03-13T22:37:11.558146,256609,-668,1368,16812,168.14,IDLE
2026-03-13T22:37:11.658265,256709,-720,1404,16544,184.99,IDLE
2026-03-13T22:37:11.758135,256809,-828,1248,16580,156.81,IDLE
2026-03-13T22:37:11.858131,256909,-676,1268,16632,136.94,IDLE
2026-03-13T22:37:11.957992,257009,-832,1340,16672,121.74,IDLE
2026-03-13T22:37:12.058279,257109,-700,1220,16664,104.00,IDLE
2026-03-13T22:37:12.158057,257209,-848,1256,16708,94.88,IDLE
2026-03-13T22:37:12.258062,257309,-716,1336,16800,94.30,IDLE
2026-03-13T22:37:12.358199,257409,-788,1368,16596,112.84,IDLE
2026-03-13T22:37:12.459727,257509,-792,1200,16716,111.76,IDLE
2026-03-13T22:37:12.557951,257609,-116,944,16796,99.77,IDLE
2026-03-13T22:37:12.658210,257709,-544,1152,16276,171.30,IDLE
2026-03-13T22:37:12.758096,257809,-776,1208,16788,234.69,IDLE
2026-03-13T22:37:12.858158,257909,-808,1132,16700,208.91,IDLE
2026-03-13T22:37:12.958042,258009,-740,1332,16684,172.10,IDLE
2026-03-13T22:37:13.058096,258109,-800,1264,16756,153.58,IDLE
2026-03-13T22:37:13.158101,258209,-952,1316,16800,135.96,IDLE
2026-03-13T22:37:13.258238,258309,-532,1512,16544,157.72,IDLE
2026-03-13T22:37:13.358033,258409,-828,1116,16780,168.21,IDLE
2026-03-13T22:37:13.459647,258509,-628,928,16724,151.60,IDLE
2026-03-13T22:37:13.558120,258609,-488,1156,16600,144.86,IDLE
2026-03-13T22:37:13.658133,258709,-1112,1628,16568,125.54,IDLE
